Old Ref ID;Ref ID;Record Last Updated (dd/mm/yyyy);Operator (or Applicant);Site Name;Technology Type;Storage Type;Storage Co-location REPD Ref ID;Installed Capacity (MWelec);Share Community Scheme;CHP Enabled;CfD Allocation Round;RO Banding (ROC/MWh);FiT Tariff (p/kWh);CfD Capacity (MW);Turbine Capacity (MW);No. of Turbines;Height of Turbines (m);Mounting Type for Solar;Development Status;Development Status (short);Are they re-applying (New REPD Ref);Are they re-applying (Old REPD Ref) ;Address;County;Region;Country;Post Code;X-coordinate;Y-coordinate;Planning Authority;Planning Application Reference;Appeal Reference;Secretary of State Reference;Type of Secretary of State Intervention;Judicial Review;Offshore Wind Round;Planning Application Submitted;Planning Application Withdrawn;Planning Permission Refused;Appeal Lodged;Appeal Withdrawn;Appeal Refused;Appeal Granted;Planning Permission Granted;Secretary of State - Intervened;Secretary of State - Refusal;Secretary of State - Granted;Planning Permission Expired;Under Construction;Operational;Heat Network Ref;Solar Site Area (sqm)
;9803;11.04.2024;RWE Renewables;Five Estuaries - Wind Farm;Wind Offshore;;;300,00;;No;;;;;3,80;79;320,00;;Planning Application Submitted;Application Submitted;;;Five Estuaries Offshore Wind Farm ;Offshore;Offshore;England;IP11;630357;234771;The Planning Inspectorate - National Infrastructure;EN010115;;;;;;25.03.2024;;;;;;;;;;;;;;;
N00453W;2512;05.11.2019;Equinor;Sheringham Shoal ;Wind Offshore;;;317,00;;;;;;;3,60;88;;;Operational;Operational;;;between 17 and 22 kilometres off the Norfolk coast, north of the seaside town of Sheringham.;Offshore;Offshore;England;;610671;364425;DECC (S36);;;;;;02.01.1900;30.05.2006;;;;;;;07.08.2008;;;;;30.06.2009;29.10.2012;;
;7691;11.01.2024;Equinor;Sheringham Extension Project;Wind Offshore;;;317,00;;;;;;;;27;326,00;;Planning Permission Granted;Awaiting Construction;;;Offshore, to the north and east of Sheringham Shoal OFW.;Offshore;Offshore;England;;613032;366092;The Planning Inspectorate - National Infrastructure;EN010109;;;;;;05.09.2022;;;;;;;18.04.2024;;;;;;;;
A0370;2526;02.10.2019;RWE Npower Renewables;Galloper Wind Farm;Wind Offshore;;;353,00;;;;;;;6,30;56;;;Operational;Operational;;;30 km from Suffolk coastline, South East Of Sizewell And Aldeburgh;Offshore;Offshore;England;;678139;227875;The Planning Inspectorate - National Infrastructure;EN010003;;;;;02.01.1900;21.11.2011;;;;;;;24.05.2013;;;;;29.07.2016;30.03.2018;;
N00449W;2519;20.08.2020;Scottish Power Renewables & Orsted (formerly Dong Energy);West of Duddon Sands;Wind Offshore;;;389,00;;;;;;;3,60;108;;;Operational;Operational;;;Off Duddon Sands, Cumbria. East Irish Sea;Offshore;Offshore;England;;304230;455334;DECC (S36);;;;;;02.01.1900;01.04.2006;;;;;;;04.09.2008;;;;;21.05.2013;30.10.2014;;
A0251;2520;06.12.2019; E.ON UK;Rampion Offshore Wind Farm (Hastings Zone);Wind Offshore;;;400,00;;;;;;;3,45;116;140,00;;Operational;Operational;;;off the Sussex coastline;Offshore;Offshore;England;;528790;83836;The Planning Inspectorate - National Infrastructure;EN010032;;;;;03.01.1900;25.03.2013;;;;;;;16.07.2014;;;;;25.01.2016;26.11.2017;;
N00558W;2538;02.01.2020;Statoil / Statkraft;Dudgeon East ;Wind Offshore;;;402,00;;;Investment Contract;;;402,00;6,00;67;;;Operational;Operational;;;Greater wash;Offshore;Offshore;England;;575000;361000;DECC (S36);;;;;;02.01.1900;12.06.2009;;;;;;;06.07.2012;;;;;17.03.2016;15.10.2017;;
;7692;11.01.2024;Equinor;Dudgeon Extension Project;Wind Offshore;;;402,00;;;;;;;;34;326,00;;Planning Permission Granted;Awaiting Construction;;;Offshore, north and southeast of Dudgeon OFW;Offshore;Offshore;England;;613032;366092;The Planning Inspectorate - National Infrastructure;EN010109;;;;;;05.09.2022;;;;;;;18.04.2024;;;;;;;;
A0277;2522;07.06.2023;EDF Renewables Power;Neart na Gaoithe;Wind Offshore;;;450,00;;;AR1;;;448,00;8,00;54;208,00;;Under Construction;Under Construction;;;Offshore Scottish borders (15KM off Forth Estuary, Kirkcaldy, Fife, ;Offshore;Offshore;Scotland;;384615;708641;Marine Scotland;;;;;19.07.2016;STW;30.07.2012;;;;;;;16.05.2017;;;;;01.01.2020;;;
N00443W;2510;02.10.2019;Airtricity / Fluor Ltd;Greater Gabbard Wind Farm;Wind Offshore;;;504,00;;;;;;;3,60;140;;;Operational;Operational;;;Near the Suffolk Coast (26km out to sea);Offshore;Offshore;England;;670237;231640;DECC (S36);;;;;;02.01.1900;17.10.2005;;;;;;;20.02.2007;;;;;01.07.2009;07.09.2012;;
;14144;03.07.2023;SSE / Seagreen Wind Energy Ltd;Seagreen Phase 1A;Wind Offshore;;;540,00;;No;;;;;15,00;36;;;Planning Permission Granted;Awaiting Construction;;;Firth of Forth Wind Zone 2, Dundee, Tayside;Offshore;Offshore;Scotland;DD4 0AD;404600;749300;Marine Scotland;;;;;19.07.2016;03.01.1900;23.10.2012;;;;;;;04.06.2013;;;;;;;;
;11851;28.05.2024;Flotation Energy / Vårgrønn;Green Volt - Offshore Wind Farm;Wind Offshore;;;560,00;;No;;;;;16,00;35;270,00;;Planning Permission Granted;Awaiting Construction;;;INTOG 6, North East Coast off Scotland;Offshore;Offshore;Scotland;AB42;399571;807062;Marine Scotland;;;;;;;20.01.2023;;;;;;;19.04.2024;;;;;;;;
N00441W;2543;19.08.2020;RWE;Gwynt y Mor ;Wind Offshore;;;576,00;;;;;;;3,60;160;;;Operational;Operational;;;Liverpool Bay (13-15km offshore) ;Offshore;Offshore;Wales;;292082;396482;DECC (S36);;;;;;02.01.1900;01.11.2005;;;;;;;03.12.2008;;;;;01.03.2012;18.06.2015;;
;7699;20.09.2023;RWE Renewables;Awel y Mor Offshore Wind Farm;Wind Offshore;;;576,00;;No;;;;;;;332,00;;Planning Permission Granted;Awaiting Construction;;;10.5 km off the coast of North Wales, To the west of, and immediately adjacent to, the Gwynt y Môr Offshore Wind Farm.;Offshore;Offshore;Wales;;280451;398028;The Planning Inspectorate - National Infrastructure;EN010112 ;;;;;;20.04.2022;;;;;;;20.09.2023;;;;20.09.2030;;;;
A0275;2521;31.05.2019;Scottish & Southern Energy (SSE) / Repsol / CIP;Beatrice;Wind Offshore;;;588,00;;;AR1 ;;;664,00;7,00;84;;;Operational;Operational;;;Offshore Scottish borders;Offshore;Offshore;Scotland;;344074;911416;Scottish Government (S36);;;;;;STW;25.04.2012;;;;;;;19.03.2014;;;;;02.04.2017;05.08.2019;;
N00447W;2511;06.11.2018;Siemens Gamesa Renewable Energy;London Array Phase 1;Wind Offshore;;;630,00;;;;;;;3,60;175;;;Operational;Operational;;;12 miles (20km) off the Kent and Essex coasts;Offshore;Offshore;England;;642078;197218;DECC (S36);;;;;;02.01.1900;01.06.2005;;15.12.2006;;;;05.09.2007;05.09.2007;;;;;01.03.2011;06.04.2013;;
A0374;2533;04.06.2020;Orsted (formerly Dong Energy);Walney 3;Wind Offshore;;;659,00;;;Investment Contract;;;660,00;6,00;110;222,00;;Operational;Operational;;;14km off Walney Island, Irish Sea;Offshore;Offshore;England;;286289;467410;DECC (S36);;;;;;02.01.1900;30.07.2013;;;;;;;07.11.2014;;;;07.11.2019;01.04.2017;13.09.2018;;
B0262;2524;20.08.2020;Scottish Power Renewables;East Anglia 1 (EA 1);Wind Offshore;;;714,00;;;AR1;;;714,00;7,00;102;;;Operational;Operational;;;Offshore, East of England;Offshore;Offshore;England;NR32;685500;257000;The Planning Inspectorate - National Infrastructure;ENO10025;;;;;03.01.1900;21.11.2012;;;;;;;17.06.2014;;;;;24.05.2018;28.07.2020;;
B0586;2471;01.04.2022;Scottish Power Renewables;East Anglia 1 North (EA 4);Wind Offshore;;;800,00;;;;;;;11,90;67;282,00;;Planning Permission Granted;Awaiting Construction;;;36km offshore from Lowestoft;Offshore;Offshore;England;NR32;685500;257000;The Planning Inspectorate - National Infrastructure;EN010077;;;;;03.01.1900;15.10.2019;;;;;;;31.03.2022;;;;31.03.2029;;;;
N00551W;2532;02.03.2022;Innogy;Triton Knoll ;Wind Offshore;;;857,00;;;AR2;;;0,00;9,50;90;187,00;;Operational;Operational;;;Greater Wash region, approximately 33km off the Lincolnshire coast;Offshore;Offshore;England;;591183;372179;The Planning Inspectorate - National Infrastructure;;;;;;02.01.1900;24.02.2012;;;;;;;11.07.2013;;;;;10.09.2018;13.01.2022;;
;6158;27.10.2022;EDPR;Moray West Offshore Wind Farm Project;Wind Offshore;;;882,00;;No;AR4;;;294,00;14,70;60;230,00;;Under Construction;Under Construction;;;Smith Bank, Moray Firth - 22.5 km off Lybster;Offshore;Offshore;Scotland;KW2;322637;909733;Marine Scotland;;;;;;;05.07.2018;;;;;;;14.06.2019;;;;13.06.2044;01.05.2022;;;
;5867;01.04.2022;Scottish Power Renewables;East Anglia 2 (EA 2);Wind Offshore;;;900,00;;;;;;;12,00;75;282,00;;Planning Permission Granted;Awaiting Construction;;;37km offshore from Lowestoft;Offshore;Offshore;England;NR32;681603;321858;The Planning Inspectorate - National Infrastructure;EN010078;;;;;;15.10.2019;;;;;;;31.03.2022;;;;31.03.2029;;;;
A0246;2534;12.04.2023;Diamond Green Limited, CTG & Ocean Winds;Moray East;Wind Offshore;;;950,00;;;AR2;;;950,00;9,50;100;204,00;;Operational;Operational;;;Smith Bank, Moray Firth - 13miles off Lybster;Offshore;Offshore;Scotland;;353328;897834;Scottish Government (S36);;;;;;03.01.1900;28.08.2012;;;;;;;19.03.2014;;;;;06.06.2019;01.04.2022;;
B0267;2540;18.10.2023;SSE / Seagreen Wind Energy Ltd;Seagreen;Wind Offshore;;;1075,00;;No;AR3;;;454,00;9,20;114;;;Operational;Operational;;;Firth of Forth Wind Zone 2, Dundee, Tayside;Offshore;Offshore;Scotland;DD4 0AD;404600;749300;Marine Scotland;;;;;19.07.2016;03.01.1900;23.10.2012;;;;;;;16.05.2017;;;;;01.05.2021;16.10.2023;;
A0017;2527;02.07.2020;Red Rock Power (ICOL);Inch Cape;Wind Offshore;;;1080,00;;;AR4;;;1080,00;15,00;72;291,00;;Planning Permission Granted;Awaiting Construction;;;Offshore - Scottish Borders (15-22 KM off the east Angus coastline);Offshore;Offshore;Scotland;;387786;734231;Marine Scotland;;;;;;STW;04.07.2013;;;;;;;16.05.2017;;;;;;;;
A0476;2517;12.04.2022;SSE/Equinor (formerly Statoil, formerly Forewind);Dogger Bank C (was Teesside A);Wind Offshore;;;1200,00;;No;AR3;;;1200,00;6,00;200;;;Under Construction;Under Construction;;;125km off coast of Yorkshire;Offshore;Offshore;England;;675550;599192;The Planning Inspectorate - National Infrastructure;EN010051;;;;;03.01.1900;28.03.2014;;;;;;;05.08.2015;;;;;01.03.2022;;;
B0263;2525;03.09.2020;Orsted (formerly Dong Energy);Hornsea 1 - Heron & Njord;Wind Offshore;;;1218,00;;;AR3;;;1200,00;7,00;174;;;Operational;Operational;;;;Offshore;Offshore;England;;626000;426000;The Planning Inspectorate - National Infrastructure;EN010033;;;;;03.01.1900;30.07.2013;;;;;;;10.12.2014;;;;;26.01.2018;01.12.2019;;
A0249;2502;01.09.2022;Orsted (formerly Dong Energy);Hornsea 2 - Optimus and Breesea;Wind Offshore;;;1320,00;;;AR2;;;1386,00;8,00;165;;;Operational;Operational;;;The Wash, Sutton Bridge;Offshore;Offshore;England;;632326;457349;The Planning Inspectorate - National Infrastructure;EN010053;;;;;03.01.1900;30.01.2015;;;;;;;16.08.2016;;;;;01.09.2019;31.08.2022;;
B0585;2470;15.09.2022;Scottish Power Renewables;East Anglia 3 (EA 3);Wind Offshore;;;1400,00;;;AR4;;;1372,34;14,00;100;282,00;;Under Construction;Under Construction;;;East Anglia Offshore Wind Three, Underground Cabling Between Bramford And Bawdsey, Lowestoft;Offshore;Offshore;England;NR32;685500;257000;The Planning Inspectorate - National Infrastructure;EN010056;;;;;03.01.1900;18.11.2015;;;;;;;07.08.2017;;;;;01.08.2022;;;
;6483;22.12.2022;RWE Renewables UK Limited;The East Anglia Array - Norfolk Boreas;Wind Offshore;;;1400,00;;;AR4;;;1396,00;;;;;Planning Permission Granted;Awaiting Construction;;;North Sea, off the East Anglia coast;Offshore;Offshore;England;;708047;312194;The Planning Inspectorate - National Infrastructure;EN010087;;;;;;11.06.2019;;;;;;;10.12.2021;;;;10.12.2026;;;;
;6556;13.09.2022;RWE Renewables UK Limited;Sofia (Teesside B);Wind Offshore;;;1400,00;;;AR3;;;14,00;;100;252,00;;Under Construction;Under Construction;;;125km off coast of Yorkshire;Offshore;Offshore;England;;675550;599192;The Planning Inspectorate - National Infrastructure;EN010051;;;;;;28.03.2014;;;;;;;05.08.2015;;;;;01.03.2022;;;
;10918;11.04.2024;BP Oil UK Limited / ENBW UK Limited;Mona Offshore Wind Farm;Wind Offshore;;;1500,00;;No;;;;;15,60;96;324,00;;Planning Application Submitted;Application Submitted;;;30km offshore in the Irish Sea;Offshore;Offshore;England;FY5;278986;416968;The Planning Inspectorate - National Infrastructure;EN010137;;;;;;22.02.2024;;;;;;;;;;;;;;;
;11663;11.04.2024;Green Investment Group / Total Energies;Outer Dowsing Offshore Wind Farm;Wind Offshore;;;1500,00;;No;;;;;15,00;100;403,00;;Planning Application Submitted;Application Submitted;;;Outer Dowsing Offshore Wind Farm, Lincoln;Offshore;Offshore;England;LN1;641340;395479;The Planning Inspectorate - National Infrastructure;EN010130;;;;;;19.03.2024;;;;;;;;;;;;;;;
;10772;15.12.2023;Total Energies / RIDG;West of Orkney Wind Farm;Wind Offshore;;;2000,00;;No;;;;;16,00;125;359,90;;Planning Application Submitted;Application Submitted;;;30km W/O Orkney, Orkney;Offshore;Offshore;Scotland;N1;289696;998864;Marine Scotland;;;;;;;18.09.2023;;;;;;;;;;;;;;;
B0850;2472;18.03.2022;Orsted (formerly Dong Energy);Hornsea 3;Wind Offshore;;;2400,00;;No;AR4;;;2852,00;10,00;231;;;Planning Permission Granted;Awaiting Construction;;;120km Offshore from Cromer;Offshore;Offshore;England;;626000;426000;The Planning Inspectorate - National Infrastructure;EN010080;;;;;03.01.1900;14.05.2018;;;;;;;30.12.2020;;;;13.12.2027;;;;
A0248;2541;12.04.2022;SSE/Equinor (formerly Statoil, formerly Forewind);Dogger Bank A & B (was Creyke Beck A & B);Wind Offshore;;;2400,00;;;AR3;;;2400,00;6,00;400;315,00;;Under Construction;Under Construction;;;125km off coast of Yorkshire;Offshore;Offshore;England;;629000;681000;The Planning Inspectorate - National Infrastructure;EN010021;;;;;03.01.1900;29.08.2013;;;;;;;17.02.2015;;;;;01.07.2021;;;
C1830;2473;19.07.2023;Orsted (formerly Dong Energy);Hornsea 4;Wind Offshore;;;2600,00;;;;;;;14,40;180;;;Planning Permission Granted;Awaiting Construction;;;69km offshore from Flamborough;Offshore;Offshore;England;;626000;426000;The Planning Inspectorate - National Infrastructure;EN010098;;;;;03.01.1900;29.09.2021;;;;;;;12.07.2023;;;;12.07.2030;;;;
A0250;2484;22.12.2022;RWE Renewables UK Limited;The East Anglia Array - Norfolk Vanguard;Wind Offshore;;;2800,00;;No;;;;;;145;350,00;;Planning Permission Granted;Awaiting Construction;;;North Sea, off the East Anglia coast;Offshore;Offshore;England;;708047;312194;The Planning Inspectorate - National Infrastructure;EN010079;;;;;03.01.1900;11.07.2018;;18.02.2021;;;;;11.02.2022;;;11.02.2022;11.02.2027;;;;
;9873;01.11.2021;Scottish Southern Energy Renewables ;Berwick Bank Offshore Wind Farm ;Wind Offshore;;;4100,00;;No;;;;;13,30;307;200,00;;Planning Application Submitted;Application Submitted;;;Berwick Bank Offshore Wind Farm, E/O St Abbs Head, Coastline, Eyemouth;Offshore;Offshore;Scotland;TD14;432997;728012;Marine Scotland;NA;;;;;;09.12.2022;;;;;;;;;;;;;;;
;5863;22.08.2019;Cierco;Forthwind;Wind Offshore;;;;;;AR3;;;12,00;;1;280,00;;Revised;Revised;14484;;Forth of Firth;Offshore;Offshore;Scotland;;338141;696278;Marine Scotland;;;;;;;06.07.2015;;;;;;;21.12.2016;;;;;;;;
;7698;09.01.2024;RWE Renewables UK Limited;Rampion Wind Farm (Extension), (Rampion 2);Wind Offshore;;;;;;;;;;;90;325,00;;Planning Application Submitted;Application Submitted;;;Rampion Wind Farm, East Quay, Newhaven;Offshore;Offshore;England;BN9;528790;83836;The Planning Inspectorate - National Infrastructure;EN010117;;;;;;10.08.2023;;;;;;;;;;;;;;;